"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","shouldHaveCorrectTotalPaise()","","2026-07-10","failed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldHaveCorrectTotalPaise"
"","4","shouldCreateDefaultOrder()","","2026-07-10","passed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldCreateDefaultOrder"
"","5","shouldHaveDefaultSku()","","2026-07-10","passed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldHaveDefaultSku"
"","1","shouldCreateRefundedOrder()","","2026-07-10","passed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldCreateRefundedOrder"
"","13","testDefectNegativeQuantityNotValidated()","","2026-07-10","failed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","testDefectNegativeQuantityNotValidated"
"","0","testOrderPersistenceToDatabase()","","2026-07-10","skipped","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","testOrderPersistenceToDatabase"
"","4","shouldCreateOrderWithCustomValues()","","2026-07-10","passed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldCreateOrderWithCustomValues"
"","6","shouldCreateOrder()","","2026-07-10","failed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldCreateOrder"
"","42","shouldHaveCorrectStatus()","","2026-07-10","failed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","shouldHaveCorrectStatus"
"","5","testDefectRefundedOrderStatus()","","2026-07-10","failed","2026-07-10","","postgreSqlCon.OrderTest","postgreSqlCon.OrderTest","testDefectRefundedOrderStatus"
